timestamp_s,diameter_mm,confidence,stimulus_active
0.022,5.90,63.4,0
0.053,5.85,62.8,0
0.085,5.87,63.3,0
0.117,5.84,62.5,0
0.150,5.81,62.8,0
0.198,5.85,63.0,0
0.230,5.88,63.3,0
0.262,5.90,63.0,0
0.294,5.94,62.9,0
0.325,5.91,63.2,0
0.357,5.90,62.6,0
0.389,5.93,62.4,0
0.421,5.92,63.3,0
0.454,5.99,62.6,0
0.486,6.02,62.8,0
0.533,5.99,62.6,0
0.566,6.03,63.2,0
0.597,6.06,63.4,0
0.630,6.10,63.2,0
0.662,6.14,62.9,0
0.693,6.14,63.4,0
0.726,6.12,62.9,0
0.757,6.15,62.9,0
0.789,6.12,62.9,0
0.822,6.16,63.0,0
0.852,6.11,62.9,0
0.902,6.15,62.9,0
0.934,6.17,63.2,0
0.966,6.20,62.6,0
0.997,6.22,62.1,0
1.027,6.27,62.8,0
1.062,6.29,62.6,0
1.094,6.27,62.4,0
1.126,6.37,62.0,0
1.158,6.31,62.5,0
1.190,6.31,62.1,0
1.237,6.30,63.0,0
1.270,6.34,62.6,0
1.301,6.40,63.3,0
1.334,6.36,63.2,0
1.366,6.36,63.1,0
1.398,6.34,62.9,0
1.430,6.33,62.7,0
1.462,6.39,62.6,0
1.494,6.33,62.5,0
1.526,6.35,62.9,0
1.557,6.36,62.4,0
1.606,6.31,62.5,0
1.637,6.32,63.2,0
1.670,6.35,63.1,0
1.701,6.35,62.2,0
1.734,6.34,62.9,0
1.765,6.39,62.7,0
1.798,6.36,62.8,0
1.828,6.33,62.9,0
1.862,6.35,62.6,0
1.894,6.36,62.6,0
1.941,6.37,63.0,0
1.973,6.35,62.4,0
2.006,6.28,62.3,0
2.038,6.34,63.2,0
2.070,6.33,62.4,0
2.101,6.29,62.1,0
2.133,6.40,62.2,0
2.167,6.36,62.3,0
2.198,6.44,62.4,0
2.230,6.39,62.3,0
2.262,6.48,63.4,0
2.309,6.46,63.0,0
2.341,6.46,63.1,0
2.374,6.40,62.8,0
2.406,6.40,62.6,0
2.438,6.39,62.8,0
2.470,6.40,62.7,0
2.502,6.37,62.9,0
2.534,6.41,62.3,0
2.566,6.39,62.6,0
2.598,6.42,62.3,0
2.630,6.40,62.1,0
2.677,6.44,62.1,0
2.710,6.49,62.4,0
2.742,6.47,62.6,0
2.773,6.45,62.5,0
2.805,6.48,62.7,0
2.837,6.49,62.4,0
2.870,6.45,62.5,0
2.901,6.43,62.5,0
2.934,6.45,62.6,0
2.966,6.49,62.8,0
3.014,6.48,62.5,0
3.045,6.52,62.0,0
3.077,6.45,62.6,0
3.109,6.48,61.9,0
3.142,6.44,62.6,0
3.173,6.51,62.9,0
3.205,6.54,63.0,0
3.237,6.51,62.2,0
3.270,6.56,62.7,0
3.302,6.57,62.8,0
3.334,6.65,62.9,0
3.382,6.57,62.4,0
3.413,6.59,63.1,0
3.445,6.62,62.4,0
3.477,6.63,63.0,0
3.510,6.68,62.2,0
3.542,6.63,62.7,0
3.574,6.66,62.7,0
3.606,6.63,62.9,0
3.638,6.66,62.1,0
3.670,6.66,63.3,0
3.717,6.59,62.5,0
3.750,6.69,62.4,0
3.782,6.62,62.5,0
3.814,6.64,62.9,0
3.846,6.65,62.9,0
3.877,6.62,62.3,0
3.910,6.65,62.4,0
3.942,6.68,63.1,0
3.973,6.58,62.2,0
4.006,6.61,62.6,0
4.038,6.62,62.9,0
4.085,6.60,62.5,0
4.118,6.58,62.7,0
4.150,6.64,62.4,0
4.182,6.62,61.9,0
4.214,6.65,63.0,0
4.246,6.63,62.9,0
4.278,6.59,63.4,0
4.310,6.61,62.5,0
4.342,6.63,62.4,0
4.373,6.62,62.8,0
4.422,6.64,62.8,0
4.454,6.62,62.8,0
4.486,6.59,62.9,0
4.518,6.58,63.2,0
4.550,6.56,62.9,0
4.582,6.55,62.4,0
4.614,6.54,62.5,0
4.645,6.49,62.9,0
4.678,6.50,62.8,0
4.710,6.53,62.0,0
4.742,6.46,62.8,0
4.789,6.46,62.3,0
4.822,6.46,62.5,0
4.853,6.44,62.4,0
4.886,6.47,63.0,0
4.918,6.47,62.8,0
4.949,6.49,62.4,0
4.980,6.54,62.7,0
5.014,6.52,62.5,0
5.020,6.54,62.5,1
5.052,6.56,62.9,1
5.101,6.59,62.1,1
5.133,6.59,63.1,1
5.165,6.60,62.2,1
5.197,6.62,63.4,1
5.229,6.61,62.9,1
5.261,6.60,62.9,1
5.293,6.58,62.6,1
5.325,6.65,62.5,1
5.357,6.57,62.9,1
5.389,6.54,62.7,1
5.421,6.40,62.8,1
5.469,6.26,62.9,1
5.501,6.09,62.9,1
5.533,5.94,62.9,1
5.565,5.82,62.6,1
5.597,5.71,63.6,1
5.629,5.59,62.8,1
5.661,5.53,62.3,1
5.693,5.47,62.5,1
5.725,5.40,62.5,1
5.757,5.37,63.2,1
5.789,5.27,62.8,1
5.837,5.22,62.5,1
5.867,5.18,63.3,1
5.900,5.17,62.8,1
5.934,5.15,63.2,1
5.965,5.17,62.6,1
5.995,5.10,63.3,1
6.028,5.05,62.6,1
6.061,5.08,62.6,1
6.093,5.06,63.4,1
6.125,4.99,62.5,1
6.172,5.00,62.6,1
6.205,4.95,63.3,1
6.236,4.93,62.7,1
6.268,4.94,62.8,1
6.301,4.87,62.7,1
6.333,4.91,63.1,1
6.365,4.92,62.1,1
6.397,4.86,62.8,1
6.429,4.89,63.2,1
6.461,4.88,62.4,1
6.493,4.90,62.5,1
6.541,4.94,62.8,1
6.573,4.94,61.9,1
6.605,4.97,63.3,1
6.636,5.02,62.8,1
6.669,4.95,62.6,1
6.701,4.98,62.3,1
6.733,4.96,62.1,1
6.764,5.01,63.2,1
6.797,5.01,62.9,1
6.829,5.00,62.6,1
6.877,5.03,63.0,1
