timestamp_s,diameter_mm,quality_score
0.047,22.294,100
0.079,22.294,100
0.128,22.294,100
0.160,22.294,100
0.208,22.294,100
0.240,22.294,100
0.288,22.294,100
0.319,22.294,100
0.369,22.294,100
0.401,22.294,100
0.449,22.294,100
0.480,22.294,100
0.527,22.294,100
0.561,22.294,100
0.607,22.294,100
0.639,22.294,100
0.688,22.294,100
0.720,22.294,100
0.768,22.294,100
0.800,22.294,100
0.847,22.294,100
0.881,22.294,100
0.929,22.294,100
0.960,22.294,100
1.007,22.294,100
1.039,22.294,100
1.087,22.294,100
1.119,22.294,100
1.168,22.294,100
1.199,22.294,100
1.247,22.294,100
1.280,22.294,100
1.328,22.294,100
1.359,22.294,100
1.409,22.294,100
1.440,22.294,100
1.488,22.294,100
1.520,22.294,100
1.568,22.294,100
1.600,22.294,100
1.648,22.294,100
1.679,22.294,100
1.727,22.294,100
1.759,22.294,100
1.807,22.294,100
1.839,22.294,100
1.888,22.294,100
1.920,22.294,100
1.968,22.294,100
2.000,22.294,100
2.048,22.294,100
2.079,22.294,100
2.127,22.294,100
2.160,22.294,100
2.208,22.294,100
2.239,22.294,100
2.287,22.294,100
2.320,22.294,100
2.368,22.294,100
2.399,22.294,100
2.448,22.294,100
2.480,22.294,100
2.528,22.294,100
2.560,22.294,100
2.609,22.294,100
2.640,22.294,100
2.687,22.294,100
2.720,22.294,100
2.768,22.294,100
2.800,22.294,100
2.848,22.294,100
2.880,22.294,100
2.928,22.294,100
2.960,22.294,100
3.008,22.294,100
3.040,22.294,100
3.089,22.294,100
3.120,22.294,100
3.168,22.294,100
3.200,22.294,100
3.248,22.294,100
3.280,22.294,100
3.328,22.294,100
3.358,22.294,100
3.408,22.294,100
3.440,22.294,100
3.488,22.294,100
3.520,22.294,100
3.568,22.294,100
3.600,22.294,100
3.648,22.294,100
3.679,22.294,100
3.727,22.294,100
3.760,22.294,100
3.809,22.294,100
3.840,22.294,100
3.888,22.294,100
3.920,22.294,100
3.968,22.294,100
4.000,22.294,100
4.048,22.294,100
4.080,22.294,100
4.127,22.294,100
4.160,22.294,100
4.208,22.294,100
4.240,22.294,100
4.288,22.294,100
4.320,22.294,100
4.368,22.294,100
4.399,22.294,100
4.448,22.294,100
4.480,22.294,100
4.528,22.294,100
4.559,22.294,100
4.606,22.294,100
4.639,22.294,100
4.688,22.294,100
4.720,22.294,100
4.768,22.294,100
4.800,22.294,100
4.848,22.294,100
4.880,22.294,100
4.927,22.294,100
4.959,22.294,100
5.008,22.294,100
5.040,22.294,100
5.088,22.294,100
5.120,22.294,100
5.168,22.294,100
5.200,22.294,100
5.248,22.294,100
5.280,22.294,100
5.328,22.294,100
5.360,22.294,100
5.408,22.294,100
5.440,22.294,100
5.488,22.294,100
5.520,22.294,100
5.568,22.294,100
5.601,22.294,100
5.648,22.294,100
5.679,22.294,100
5.728,22.294,100
5.760,22.294,100
5.807,22.294,100
5.840,22.294,100
5.887,22.294,100
5.920,22.294,100
5.969,22.294,100
6.000,22.294,100
6.047,22.294,100
6.078,22.294,100
6.128,22.294,100
6.160,22.294,100
6.208,22.294,100
6.256,22.294,100
6.288,22.294,100
6.336,22.294,100
6.367,22.294,100
6.416,22.294,100
6.447,22.294,100
6.496,22.294,100
6.527,22.294,100
6.576,22.294,100
6.607,22.294,100
6.656,22.294,100
6.687,22.294,100
6.736,22.294,100
6.768,22.294,100
6.817,22.294,100
6.847,22.294,100
6.897,22.294,100
6.928,22.294,100
6.977,22.294,100
7.009,22.294,100
7.055,22.294,100
7.088,22.294,100
7.136,22.294,100
7.167,22.294,100
7.215,22.294,100
7.249,22.294,100
7.295,22.294,100
7.328,22.294,100
7.376,22.294,100
7.407,22.294,100
7.454,22.294,100
7.486,22.294,100
7.536,22.294,100
7.567,22.294,100
7.616,22.294,100
7.648,22.294,100
7.695,22.294,100
7.726,22.294,100
7.774,22.294,100
7.807,22.294,100
7.855,22.294,100
7.886,22.294,100
7.934,22.294,100
7.965,22.294,100
8.014,22.294,100
8.048,22.294,100
