timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.030,22,27.42,9.553,105.6,91.0,574,0.773,77.3
0.064,23,27.54,9.596,105.6,90.9,576,0.789,78.9
0.095,24,27.17,9.468,105.5,90.3,560,0.803,80.3
0.126,25,27.40,9.547,106.4,89.8,562,0.738,73.8
0.161,26,27.80,9.686,105.6,89.8,586,0.798,79.8
0.193,27,27.17,9.466,105.2,88.7,572,0.798,79.8
0.221,28,26.35,9.181,104.2,88.5,530,0.758,75.8
0.258,29,26.21,9.132,103.1,88.9,524,0.777,77.7
0.289,0,25.81,8.993,102.3,87.9,501,0.706,70.6
0.318,1,25.59,8.917,102.4,87.9,490,0.647,64.7
0.466,5,21.39,7.453,104.1,87.0,318,0.705,70.5
0.497,6,27.62,9.624,103.0,84.3,576,0.684,68.4
0.529,7,25.83,9.002,103.6,84.9,504,0.752,75.2
0.558,8,25.64,8.933,104.5,84.2,500,0.774,77.4
0.590,9,26.11,9.097,104.6,83.0,529,0.784,78.4
0.623,10,25.67,8.944,105.9,83.5,504,0.799,79.9
0.654,11,25.60,8.921,105.8,84.0,509,0.741,74.1
0.702,12,25.86,9.010,105.8,84.6,490,0.781,78.1
0.712,13,25.86,9.010,105.8,84.6,490,0.781,78.1
0.732,14,24.43,8.511,106.6,84.2,451,0.739,73.9
0.799,15,26.12,9.100,106.1,83.7,520,0.760,76.0
0.830,16,26.23,9.139,105.4,83.9,508,0.712,71.2
0.861,17,25.40,8.849,105.1,83.9,498,0.781,78.1
0.894,18,25.63,8.931,104.5,83.5,495,0.787,78.7
0.926,19,24.92,8.684,104.9,84.7,475,0.663,66.3
0.958,20,26.20,9.130,104.6,84.0,517,0.774,77.4
0.990,21,25.24,8.795,104.0,83.8,486,0.750,75.0
1.020,22,25.28,8.807,104.3,84.6,494,0.821,82.1
1.069,23,26.29,9.160,104.3,85.5,520,0.832,83.2
1.080,24,26.29,9.160,104.3,85.5,520,0.832,83.2
1.102,25,25.77,8.980,104.3,84.8,513,0.780,78.0
1.134,26,26.11,9.097,104.6,85.1,500,0.795,79.5
1.199,27,26.11,9.096,104.9,84.5,517,0.766,76.6
1.230,28,25.88,9.018,105.0,84.2,500,0.681,68.1
1.264,29,26.09,9.090,104.7,84.0,529,0.784,78.4
1.295,0,24.78,8.635,105.2,83.5,470,0.709,70.9
1.326,1,27.49,9.578,104.7,82.9,582,0.831,83.1
