timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.118,5,25.00,1.250,128.9,115.7,467,0.801,80.1
0.150,6,26.60,1.330,128.2,116.6,512,0.756,75.6
0.310,11,25.11,1.256,137.3,121.5,449,0.735,73.5
0.397,12,26.75,1.338,137.3,120.1,496,0.684,68.4
0.410,13,26.75,1.338,137.3,120.1,496,0.684,68.4
0.457,15,24.87,1.244,137.0,120.5,420,0.698,69.8
0.490,16,20.88,1.044,137.2,120.4,314,0.781,78.1
0.522,17,21.93,1.097,141.7,120.8,342,0.711,71.1
0.551,18,24.68,1.234,139.3,119.8,452,0.817,81.7
0.582,19,24.59,1.230,140.1,120.8,443,0.745,74.5
0.649,21,21.42,1.071,140.2,119.9,334,0.830,83.0
0.681,22,23.50,1.175,140.6,120.8,396,0.729,72.9
0.733,23,22.01,1.100,139.3,119.9,348,0.705,70.5
0.826,26,22.93,1.147,138.3,119.4,389,0.812,81.2
0.855,27,26.32,1.316,136.2,117.3,508,0.781,78.1
0.888,28,25.24,1.262,137.4,120.1,475,0.831,83.1
0.924,29,23.35,1.168,136.8,118.3,410,0.823,82.3
0.954,0,20.17,1.009,136.2,119.8,302,0.838,83.8
0.986,1,23.95,1.198,136.3,119.8,424,0.768,76.8
1.015,2,24.13,1.207,138.0,117.5,418,0.789,78.9
1.065,3,24.40,1.220,137.2,117.7,448,0.793,79.3
1.099,4,27.31,1.365,139.8,118.7,524,0.809,80.9
1.130,5,27.07,1.353,138.1,118.9,540,0.826,82.6
1.164,6,26.59,1.329,134.4,117.6,514,0.787,78.7
1.228,8,27.24,1.362,130.5,118.6,546,0.787,78.7
1.292,10,23.54,1.177,130.8,117.6,422,0.820,82.0
1.382,13,35.24,1.762,124.5,104.3,845,0.675,67.5
1.499,16,28.38,1.419,124.4,107.4,578,0.754,75.4
1.530,17,28.61,1.431,125.7,109.0,618,0.846,84.6
2.139,5,24.91,1.246,127.4,105.5,448,0.759,75.9
2.172,6,25.36,1.268,128.3,106.5,472,0.785,78.5
2.427,14,23.87,1.193,129.0,108.2,408,0.737,73.7
2.539,17,23.97,1.199,95.1,115.7,409,0.675,67.5
3.578,18,20.79,1.040,128.9,107.5,308,0.823,82.3
3.707,22,23.11,1.155,130.5,105.8,375,0.776,77.6
4.140,4,24.58,1.229,131.0,105.9,445,0.672,67.2
4.204,6,23.78,1.189,131.5,106.8,426,0.776,77.6
4.506,15,25.96,1.298,131.9,107.4,502,0.762,76.2
4.572,17,25.86,1.293,132.6,108.2,450,0.666,66.6
5.325,9,25.02,1.251,131.6,107.2,450,0.736,73.6
5.342,10,25.02,1.251,131.6,107.2,450,0.736,73.6
6.492,14,22.30,1.115,94.2,115.3,352,0.687,68.7
6.733,21,24.20,1.210,135.7,108.9,426,0.757,75.7
9.835,22,26.84,1.342,138.9,111.0,441,0.622,62.2
10.141,1,27.21,1.360,138.3,109.7,521,0.714,71.4
10.438,10,30.84,1.542,140.6,109.4,559,0.611,61.1
10.470,11,29.01,1.451,138.8,108.7,594,0.721,72.1
10.614,15,30.91,1.545,135.4,109.7,650,0.606,60.6
10.624,16,30.91,1.545,135.4,109.7,650,0.606,60.6
10.710,19,28.25,1.413,136.1,109.9,570,0.697,69.7
