timestamp_s,diameter_mm,quality_score
0.015,22.294,100
0.064,22.294,100
0.096,22.294,100
0.145,22.294,100
0.177,22.294,100
0.228,22.294,100
0.256,22.294,100
0.305,22.294,100
0.336,22.294,100
0.385,22.294,100
0.416,22.294,100
0.465,22.294,100
0.498,22.294,100
0.544,22.294,100
0.577,22.294,100
0.625,22.294,100
0.658,22.294,100
0.705,22.294,100
0.736,22.294,100
0.785,22.294,100
0.818,22.294,100
0.865,22.294,100
0.897,22.294,100
0.944,22.294,100
0.976,22.294,100
1.025,22.294,100
1.056,22.294,100
1.105,22.294,100
1.137,22.294,100
1.185,22.294,100
1.215,22.294,100
1.264,22.294,100
1.296,22.294,100
1.345,22.294,100
1.375,22.294,100
1.423,22.294,100
1.458,22.294,100
1.505,22.294,100
1.536,22.294,100
1.584,22.294,100
1.617,22.294,100
1.666,22.294,100
1.697,22.294,100
1.745,22.294,100
1.777,22.294,100
1.826,22.294,100
1.857,22.294,100
1.905,22.294,100
1.936,22.294,100
1.984,22.294,100
2.017,22.294,100
2.064,22.294,100
2.096,22.294,100
2.145,22.294,100
2.177,22.294,100
2.225,22.294,100
2.257,22.294,100
2.305,22.294,100
2.338,22.294,100
2.385,22.294,100
2.418,22.294,100
2.466,22.294,100
2.497,22.294,100
2.545,22.294,100
2.578,22.294,100
2.625,22.294,100
2.657,22.294,100
2.706,22.294,100
2.737,22.294,100
2.785,22.294,100
2.818,22.294,100
2.865,22.294,100
2.897,22.294,100
2.945,22.294,100
2.977,22.294,100
3.036,22.294,100
3.056,22.294,100
3.105,22.294,100
3.137,22.294,100
3.184,22.294,100
3.217,22.294,100
3.265,22.294,100
3.297,22.294,100
3.345,22.294,100
3.377,22.294,100
3.425,22.294,100
3.458,22.294,100
3.505,22.294,100
3.537,22.294,100
3.585,22.294,100
3.617,22.294,100
3.665,22.294,100
3.697,22.294,100
3.745,22.294,100
3.777,22.294,100
3.825,22.294,100
3.858,22.294,100
3.904,22.294,100
3.938,22.294,100
3.983,22.294,100
4.016,22.294,100
4.066,22.294,100
4.097,22.294,100
4.145,22.294,100
4.177,22.294,100
4.225,22.294,100
4.257,22.294,100
4.306,22.294,100
4.338,22.294,100
4.385,22.294,100
4.417,22.294,100
4.465,22.294,100
4.497,22.294,100
4.545,22.294,100
4.577,22.294,100
4.625,22.294,100
4.657,22.294,100
4.705,22.294,100
4.737,22.294,100
4.785,22.294,100
4.817,22.294,100
4.866,22.294,100
4.897,22.294,100
4.945,22.294,100
4.977,22.294,100
5.024,22.294,100
5.055,22.294,100
5.105,22.294,100
5.137,22.294,100
5.185,22.294,100
5.217,22.294,100
5.266,22.294,100
5.296,22.294,100
5.345,22.294,100
5.377,22.294,100
5.426,22.294,100
5.458,22.294,100
5.506,22.294,100
5.538,22.294,100
5.585,22.294,100
5.617,22.294,100
5.665,22.294,100
5.698,22.294,100
5.745,22.294,100
5.778,22.294,100
5.825,22.294,100
5.857,22.294,100
5.905,22.294,100
5.937,22.294,100
5.985,22.294,100
6.017,22.294,100
6.066,22.294,100
6.097,22.294,100
6.145,22.294,100
6.178,22.294,100
6.225,22.294,100
6.257,22.294,100
6.306,22.294,100
6.337,22.294,100
6.385,22.294,100
6.417,22.294,100
6.466,22.294,100
6.498,22.294,100
6.546,22.294,100
6.577,22.294,100
6.625,22.294,100
6.658,22.294,100
6.705,22.294,100
6.737,22.294,100
6.785,22.294,100
6.818,22.294,100
6.865,22.294,100
6.897,22.294,100
6.945,22.294,100
6.977,22.294,100
7.025,22.294,100
7.057,22.294,100
7.105,22.294,100
7.137,22.294,100
7.185,22.294,100
7.217,22.294,100
7.265,22.294,100
7.297,22.294,100
7.345,22.294,100
7.377,22.294,100
7.424,22.294,100
7.457,22.294,100
7.505,22.294,100
7.537,22.294,100
7.585,22.294,100
7.617,22.294,100
7.665,22.294,100
7.697,22.294,100
7.744,22.294,100
7.777,22.294,100
7.825,22.294,100
7.857,22.294,100
7.905,22.294,100
7.937,22.294,100
7.986,22.294,100
8.018,22.294,100
