timestamp_s,diameter_mm,quality_score
0.027,0.765,100
0.060,0.670,100
0.108,0.996,100
0.141,0.816,100
0.189,1.031,100
0.221,0.809,100
0.270,0.728,100
0.302,0.828,100
0.350,0.808,100
0.381,0.934,100
0.429,1.011,100
0.460,0.962,100
0.510,0.922,100
0.542,0.840,100
0.621,0.936,100
0.670,0.801,100
0.702,1.069,100
0.748,0.660,100
0.779,0.721,100
0.827,0.680,100
0.859,1.020,100
0.911,0.920,100
0.940,0.820,100
0.989,1.128,100
1.019,0.794,100
1.067,0.728,100
1.100,0.704,100
1.147,0.936,100
1.179,0.765,100
1.228,0.949,100
1.308,0.660,100
1.341,0.838,100
1.389,0.765,100
1.421,0.791,100
1.469,0.901,100
1.499,0.935,100
1.547,0.996,100
1.660,1.079,100
1.708,0.922,100
1.742,0.920,100
1.788,0.728,100
1.869,0.906,100
1.898,0.753,100
1.948,0.806,100
1.979,0.791,100
2.028,0.873,100
2.059,0.860,100
2.107,0.901,100
2.141,0.971,100
2.188,1.101,100
2.222,0.763,100
2.268,0.985,100
2.299,0.962,100
2.348,0.873,100
2.379,0.860,100
2.428,0.738,100
2.459,0.652,100
2.507,0.791,100
2.539,0.934,100
2.587,0.808,100
2.619,0.696,100
2.667,1.098,100
2.700,0.765,100
2.779,1.006,100
2.830,0.791,100
2.859,0.922,100
2.909,0.920,100
2.940,0.757,100
3.020,0.757,100
3.067,0.632,100
3.099,0.934,100
3.148,1.020,100
3.180,0.808,100
3.229,1.059,100
3.261,0.706,100
3.309,0.730,100
3.341,0.838,100
3.422,1.071,100
3.468,0.972,100
3.501,0.667,100
3.549,0.856,100
3.581,0.901,100
3.628,0.791,100
3.661,0.828,100
3.709,0.901,100
3.741,0.934,100
3.789,0.838,100
3.822,0.532,100
3.868,0.919,100
3.901,0.791,100
3.949,0.894,100
3.982,0.856,100
4.028,0.765,100
4.077,0.791,100
4.109,1.107,100
4.156,0.680,100
4.189,0.585,100
4.236,0.922,100
4.268,0.934,100
4.316,0.814,100
4.349,0.875,100
4.397,0.543,100
4.477,0.863,100
4.509,0.783,100
4.557,0.716,100
4.589,0.919,100
4.637,0.886,100
4.670,0.966,100
4.716,0.791,100
4.749,0.716,100
4.797,1.031,100
4.830,0.985,100
4.877,0.922,100
4.909,0.698,100
4.957,0.801,100
4.989,0.825,100
5.036,0.984,100
5.069,0.838,100
5.116,1.097,100
5.148,0.934,100
5.197,0.792,100
5.230,1.012,100
5.277,0.728,100
5.309,0.650,100
5.356,1.031,100
5.389,1.031,100
5.437,0.752,100
5.469,0.996,100
5.517,0.888,100
5.597,0.746,100
5.628,0.757,100
5.677,0.742,100
5.709,1.011,100
5.757,0.765,100
5.789,0.871,100
5.836,1.001,100
5.869,0.912,100
5.916,0.776,100
5.949,0.743,100
5.996,0.971,100
6.077,0.895,100
6.109,0.716,100
6.156,0.873,100
6.188,0.873,100
6.236,1.107,100
6.268,0.986,100
6.317,0.855,100
6.349,0.716,100
6.397,1.085,100
6.428,0.707,100
6.477,0.808,100
6.509,0.955,100
6.556,0.880,100
6.589,0.828,100
6.637,0.971,100
6.669,0.886,100
6.717,0.705,100
6.749,0.752,100
6.797,0.658,100
6.829,0.728,100
6.878,0.875,100
6.909,0.922,100
6.956,0.791,100
6.989,0.901,100
7.036,0.570,100
7.068,0.716,100
7.117,0.912,100
7.149,0.787,100
7.197,1.124,100
7.229,0.903,100
7.278,0.920,100
7.309,0.680,100
7.357,0.934,100
7.389,1.055,100
7.438,0.889,100
7.470,0.912,100
7.517,0.873,100
7.549,1.059,100
7.597,0.886,100
7.628,0.863,100
7.676,0.838,100
7.709,0.931,100
7.757,0.982,100
7.790,0.791,100
7.837,0.934,100
7.916,0.716,100
7.949,0.962,100
7.997,0.791,100
