timestamp_s,frame_number,diameter_px,diameter_mm,center_x,center_y,area,circularity,quality_score
0.016,20,30.00,1.500,134.9,57.7,701,0.879,87.9
0.047,21,30.16,1.508,135.4,56.8,704,0.858,85.8
0.078,22,30.37,1.519,135.7,56.5,714,0.861,86.1
0.111,23,30.01,1.500,135.8,56.9,700,0.869,86.9
0.142,24,30.15,1.507,136.4,56.9,706,0.875,87.5
0.174,25,30.14,1.507,137.5,56.0,706,0.886,88.6
0.207,26,30.32,1.516,137.8,55.5,712,0.854,85.4
0.240,27,30.45,1.522,138.6,56.8,715,0.843,84.3
0.274,28,30.46,1.523,139.4,57.5,720,0.832,83.2
0.305,29,30.74,1.537,140.0,58.5,734,0.844,84.4
0.336,30,30.49,1.524,139.6,60.4,718,0.876,87.6
0.385,0,30.85,1.542,139.9,59.8,727,0.877,87.7
0.394,1,30.85,1.542,139.9,59.8,727,0.877,87.7
0.415,2,30.92,1.546,139.8,59.7,739,0.877,87.7
0.482,3,31.37,1.568,140.2,61.9,760,0.845,84.5
0.514,4,31.53,1.576,139.5,62.4,766,0.838,83.8
0.545,5,31.71,1.585,137.7,61.8,770,0.855,85.5
0.575,6,31.97,1.599,136.2,60.5,784,0.862,86.2
0.610,7,32.08,1.604,132.1,60.4,790,0.847,84.7
0.640,8,31.82,1.591,130.0,60.2,784,0.853,85.3
0.671,9,31.92,1.596,131.3,59.4,793,0.872,87.2
0.704,10,32.02,1.601,131.6,59.5,794,0.860,86.0
0.752,11,32.43,1.621,132.0,59.8,810,0.855,85.5
0.758,12,32.43,1.621,132.0,59.8,810,0.855,85.5
0.782,13,32.44,1.622,133.4,59.5,808,0.840,84.0
0.816,14,32.42,1.621,134.4,59.5,801,0.867,86.7
0.882,15,32.14,1.607,131.6,62.5,806,0.864,86.4
0.913,16,32.13,1.606,130.8,62.5,802,0.845,84.5
0.943,17,32.12,1.606,131.1,62.3,802,0.855,85.5
0.977,18,32.26,1.613,130.7,62.6,798,0.841,84.1
1.007,19,32.15,1.607,131.2,62.4,800,0.831,83.1
1.038,20,32.25,1.613,133.9,61.9,807,0.842,84.2
1.088,21,32.13,1.607,135.2,62.3,804,0.852,85.2
1.120,22,32.38,1.619,134.8,62.3,814,0.849,84.9
1.126,23,32.38,1.619,134.8,62.3,814,0.849,84.9
1.152,24,32.40,1.620,134.6,61.4,819,0.837,83.7
1.183,25,32.79,1.640,131.0,62.6,834,0.866,86.6
1.214,26,32.73,1.637,129.4,63.8,828,0.830,83.0
1.282,27,32.92,1.646,130.0,63.9,840,0.842,84.2
1.311,28,33.67,1.683,126.7,63.5,872,0.883,88.3
1.345,29,34.14,1.707,127.6,63.9,891,0.846,84.6
1.377,0,33.79,1.690,127.8,64.0,880,0.869,86.9
1.408,1,34.19,1.709,126.5,65.5,898,0.856,85.6
1.458,2,34.55,1.727,125.8,67.5,900,0.833,83.3
1.464,3,34.55,1.727,125.8,67.5,900,0.833,83.3
1.855,15,31.64,1.582,135.8,92.5,779,0.889,88.9
1.888,16,29.59,1.480,144.3,100.6,682,0.891,89.1
1.921,17,29.27,1.463,146.1,100.7,664,0.894,89.4
1.953,18,29.11,1.456,146.9,100.7,664,0.894,89.4
1.985,19,28.73,1.436,147.7,101.0,646,0.879,87.9
2.017,20,28.72,1.436,148.3,100.2,640,0.886,88.6
2.082,21,28.31,1.415,147.7,99.7,627,0.875,87.5
2.113,22,28.18,1.409,148.6,99.6,620,0.880,88.0
2.163,23,28.15,1.407,148.4,99.1,618,0.881,88.1
2.170,24,28.15,1.407,148.4,99.1,618,0.881,88.1
2.191,25,28.29,1.414,146.7,99.4,624,0.876,87.6
2.224,26,28.21,1.411,145.3,99.4,620,0.907,90.7
2.256,27,28.29,1.414,143.8,98.6,618,0.883,88.3
2.289,28,28.03,1.402,144.9,96.1,606,0.881,88.1
2.321,29,28.14,1.407,145.1,94.7,617,0.876,87.6
2.353,30,28.30,1.415,143.8,93.1,622,0.899,89.9
2.385,0,28.32,1.416,144.4,93.0,623,0.884,88.4
2.417,1,28.11,1.406,143.7,93.5,614,0.887,88.7
2.494,2,28.44,1.422,145.9,93.1,630,0.858,85.8
2.529,3,28.42,1.421,147.9,92.3,627,0.868,86.8
2.534,4,28.42,1.421,147.9,92.3,627,0.868,86.8
2.559,5,28.58,1.429,150.6,91.4,633,0.892,89.2
2.593,6,28.47,1.423,153.1,90.3,630,0.884,88.4
2.625,7,28.79,1.440,153.0,91.0,648,0.882,88.2
2.657,8,28.90,1.445,152.3,90.9,648,0.887,88.7
2.689,9,28.95,1.448,150.6,90.2,652,0.877,87.7
2.721,10,29.14,1.457,148.1,90.6,660,0.887,88.7
2.752,11,29.27,1.463,144.8,91.4,672,0.888,88.8
2.786,12,29.21,1.461,145.8,91.8,664,0.894,89.4
2.817,13,29.34,1.467,148.6,91.5,669,0.874,87.4
2.867,14,29.51,1.475,148.4,91.5,678,0.861,86.1
2.897,15,30.02,1.501,142.0,91.9,704,0.869,86.9
2.928,16,30.15,1.508,144.2,91.5,706,0.871,87.1
2.962,17,30.05,1.503,148.3,90.9,708,0.874,87.4
2.993,18,29.99,1.500,150.8,91.4,700,0.888,88.8
3.022,19,30.02,1.501,152.7,90.7,702,0.890,89.0
3.055,20,29.98,1.499,153.0,90.3,700,0.893,89.3
3.087,21,30.12,1.506,152.4,90.2,708,0.885,88.5
3.121,22,30.13,1.506,152.9,90.0,702,0.877,87.7
3.151,23,30.26,1.513,155.1,88.6,712,0.879,87.9
3.201,24,30.25,1.512,154.0,88.4,709,0.875,87.5
3.232,25,30.37,1.519,153.4,87.9,718,0.886,88.6
3.261,26,30.34,1.517,154.3,86.9,720,0.889,88.9
3.297,27,30.95,1.548,152.5,83.1,748,0.888,88.8
3.328,28,35.45,1.773,144.6,65.8,976,0.857,85.7
3.361,29,36.29,1.815,139.6,57.8,1024,0.826,82.6
3.392,0,35.96,1.798,142.0,57.5,992,0.823,82.3
3.424,1,35.33,1.766,142.3,56.7,964,0.870,87.0
3.457,2,34.88,1.744,143.5,56.3,940,0.849,84.9
3.487,3,34.33,1.717,145.1,56.0,920,0.868,86.8
3.520,4,33.69,1.685,145.6,56.1,884,0.851,85.1
3.568,5,33.34,1.667,146.2,55.3,866,0.837,83.7
3.600,6,33.00,1.650,145.2,56.7,850,0.877,87.7
3.632,7,32.89,1.645,147.0,52.4,834,0.835,83.5
3.665,8,32.16,1.608,146.4,52.2,804,0.847,84.7
3.696,9,32.11,1.606,145.5,53.3,798,0.845,84.5
3.729,10,32.01,1.600,145.6,52.9,797,0.863,86.3
3.758,11,32.16,1.608,145.7,53.0,796,0.852,85.2
3.792,12,32.23,1.612,146.4,53.4,804,0.860,86.0
3.824,13,32.10,1.605,146.7,54.0,802,0.859,85.9
3.857,14,32.32,1.616,146.5,54.7,808,0.853,85.3
3.905,15,32.29,1.614,148.4,54.2,808,0.866,86.6
3.935,16,32.45,1.622,148.6,53.8,814,0.876,87.6
3.968,17,32.38,1.619,148.0,54.1,816,0.860,86.0
3.999,18,32.57,1.629,147.2,55.0,824,0.851,85.1
4.032,19,32.56,1.628,147.4,55.2,822,0.871,87.1
4.064,20,32.80,1.640,147.4,55.6,834,0.848,84.8
4.095,21,33.06,1.653,148.0,55.9,850,0.864,86.4
4.128,22,32.98,1.649,149.1,56.6,856,0.849,84.9
4.162,23,33.50,1.675,149.9,57.5,870,0.842,84.2
4.192,24,33.56,1.678,152.4,57.9,874,0.854,85.4
4.225,25,33.71,1.686,155.7,57.8,882,0.865,86.5
4.274,26,33.92,1.696,155.9,57.8,898,0.851,85.1
4.305,27,34.22,1.711,157.3,56.7,904,0.869,86.9
4.335,28,34.24,1.712,156.2,57.6,913,0.844,84.4
4.367,29,34.20,1.710,156.1,58.3,912,0.811,81.1
4.400,0,34.30,1.715,156.6,58.5,914,0.836,83.6
4.433,1,34.10,1.705,156.6,59.2,917,0.865,86.5
4.464,2,34.69,1.734,157.7,60.3,930,0.857,85.7
4.497,3,34.45,1.722,158.5,61.7,924,0.855,85.5
4.529,4,34.52,1.726,159.2,62.7,927,0.845,84.5
4.561,5,34.60,1.730,159.9,63.8,935,0.836,83.6
4.593,6,35.00,1.750,160.9,65.0,954,0.861,86.1
4.641,7,35.31,1.765,158.7,67.0,960,0.835,83.5
4.672,8,35.09,1.755,156.1,67.9,963,0.861,86.1
4.705,9,35.44,1.772,155.1,69.5,970,0.876,87.6
4.736,10,35.59,1.779,154.5,71.9,983,0.884,88.4
4.770,11,35.80,1.790,157.9,75.7,998,0.868,86.8
4.800,12,35.68,1.784,161.0,79.7,990,0.869,86.9
4.832,13,35.89,1.794,164.0,80.6,990,0.875,87.5
4.866,14,35.70,1.785,165.5,79.4,986,0.866,86.6
4.896,15,35.96,1.798,166.3,78.6,1000,0.877,87.7
4.928,16,35.88,1.794,166.7,76.8,995,0.865,86.5
4.979,17,35.93,1.796,168.3,76.6,1003,0.860,86.0
5.009,18,35.63,1.781,170.3,78.2,990,0.828,82.8
