timestamp,frame,diameter_px,diameter_mm,center_x,center_y,score
2025-11-24T10:50:30.325776,5845,32.17,1.609,329,222,0.707
2025-11-24T10:50:30.376794,5846,33.07,1.654,328,222,0.521
2025-11-24T10:50:30.417218,5847,31.79,1.589,327,223,0.716
2025-11-24T10:50:30.438025,5848,31.65,1.583,327,221,0.708
2025-11-24T10:50:30.471116,5849,31.82,1.591,328,219,0.737
2025-11-24T10:50:30.503149,5850,32.06,1.603,328,217,0.734
2025-11-24T10:50:30.535138,5851,31.76,1.588,328,218,0.736
2025-11-24T10:50:30.567627,5852,31.66,1.583,329,218,0.746
2025-11-24T10:50:30.597092,5853,31.30,1.565,331,217,0.706
2025-11-24T10:50:30.630333,5854,30.71,1.536,332,216,0.758
2025-11-24T10:50:30.663126,5855,30.38,1.519,332,214,0.734
2025-11-24T10:50:30.694708,5856,30.12,1.506,330,214,0.733
2025-11-24T10:50:30.743375,5857,30.31,1.515,328,217,0.705
2025-11-24T10:50:30.772678,5858,29.79,1.489,327,217,0.745
2025-11-24T10:50:30.804567,5859,29.21,1.460,328,216,0.745
2025-11-24T10:50:30.871392,5861,28.95,1.447,329,216,0.767
2025-11-24T10:50:30.900761,5862,29.16,1.458,329,216,0.758
2025-11-24T10:50:30.931155,5863,28.98,1.449,328,217,0.742
2025-11-24T10:50:30.964901,5864,29.01,1.450,327,219,0.724
2025-11-24T10:50:30.998094,5865,29.11,1.456,327,218,0.741
2025-11-24T10:50:31.028290,5866,29.00,1.450,328,218,0.723
2025-11-24T10:50:31.079730,5867,29.18,1.459,328,218,0.759
2025-11-24T10:50:31.111144,5868,29.23,1.462,329,217,0.706
2025-11-24T10:50:31.139190,5869,29.43,1.471,328,218,0.771
2025-11-24T10:50:31.174831,5870,29.71,1.485,328,218,0.750
2025-11-24T10:50:31.207000,5871,29.81,1.491,327,218,0.740
2025-11-24T10:50:31.236630,5872,29.83,1.491,327,218,0.724
2025-11-24T10:50:31.302839,5874,30.08,1.504,325,220,0.749
2025-11-24T10:50:31.329250,5875,30.58,1.529,326,219,0.711
2025-11-24T10:50:31.364807,5876,30.54,1.527,326,220,0.738
2025-11-24T10:50:31.400111,5877,31.01,1.551,327,218,0.698
2025-11-24T10:50:31.448466,5878,30.76,1.538,328,217,0.722
2025-11-24T10:50:31.510640,5880,30.38,1.519,326,218,0.738
2025-11-24T10:50:31.542675,5881,29.91,1.496,324,218,0.783
2025-11-24T10:50:31.574012,5882,29.47,1.473,323,218,0.758
2025-11-24T10:50:31.604431,5883,29.05,1.453,324,218,0.770
2025-11-24T10:50:31.639903,5884,28.36,1.418,324,217,0.752
2025-11-24T10:50:31.671613,5885,28.42,1.421,325,215,0.730
2025-11-24T10:50:31.699467,5886,27.79,1.389,324,216,0.758
2025-11-24T10:50:31.733981,5887,27.23,1.361,324,217,0.805
2025-11-24T10:50:31.785897,5888,27.35,1.367,324,216,0.757
2025-11-24T10:50:31.815432,5889,26.65,1.332,324,216,0.764
2025-11-24T10:50:31.834435,5890,26.65,1.332,324,216,0.764
2025-11-24T10:50:31.880829,5891,25.57,1.278,324,215,0.781
2025-11-24T10:50:31.909465,5892,25.32,1.266,323,215,0.801
2025-11-24T10:50:31.941523,5893,25.24,1.262,322,216,0.792
2025-11-24T10:50:31.975391,5894,25.31,1.265,322,216,0.776
2025-11-24T10:50:32.006035,5895,24.96,1.248,322,215,0.739
2025-11-24T10:50:32.038431,5896,25.15,1.258,322,215,0.778
2025-11-24T10:50:32.069898,5897,25.01,1.251,321,217,0.721
2025-11-24T10:50:32.103315,5898,22.88,1.144,262,236,0.404
2025-11-24T10:50:32.152311,5899,24.46,1.223,319,217,0.748
2025-11-24T10:50:32.178045,5900,24.46,1.223,319,217,0.748
2025-11-24T10:50:32.201245,5901,25.13,1.256,318,219,0.776
2025-11-24T10:50:32.226620,5902,24.56,1.228,318,218,0.812
2025-11-24T10:50:32.281384,5903,22.85,1.143,260,237,0.375
2025-11-24T10:50:32.339750,5905,23.96,1.198,319,218,0.803
2025-11-24T10:50:32.373954,5906,24.45,1.222,318,218,0.754
2025-11-24T10:50:32.406359,5907,23.92,1.196,318,219,0.771
2025-11-24T10:50:32.438094,5908,23.83,1.191,318,219,0.763
2025-11-24T10:50:32.488574,5909,23.58,1.179,318,218,0.778
2025-11-24T10:50:32.519231,5910,23.53,1.177,320,217,0.778
2025-11-24T10:50:32.540799,5911,23.53,1.177,320,217,0.778
2025-11-24T10:50:32.568951,5912,23.61,1.181,321,216,0.792
2025-11-24T10:50:32.593693,5913,23.72,1.186,321,216,0.838
2025-11-24T10:50:32.611759,5914,23.89,1.195,321,217,0.795
2025-11-24T10:50:32.681401,5915,24.34,1.217,316,218,0.761
2025-11-24T10:50:32.711306,5916,23.94,1.197,314,221,0.763
2025-11-24T10:50:32.742645,5917,23.85,1.192,314,222,0.698
2025-11-24T10:50:32.774108,5918,24.03,1.202,316,221,0.810
2025-11-24T10:50:32.855329,5920,24.39,1.220,319,219,0.733
2025-11-24T10:50:32.873269,5921,24.39,1.220,319,219,0.733
2025-11-24T10:50:32.898323,5922,24.48,1.224,319,219,0.779
2025-11-24T10:50:32.915877,5923,24.60,1.230,318,220,0.780
2025-11-24T10:50:32.950244,5924,24.66,1.233,316,220,0.753
2025-11-24T10:50:32.983319,5925,24.37,1.219,315,221,0.795
2025-11-24T10:50:33.014934,5926,24.34,1.217,314,221,0.788
2025-11-24T10:50:33.080293,5927,24.50,1.225,314,222,0.761
2025-11-24T10:50:33.107822,5928,24.73,1.236,314,221,0.754
2025-11-24T10:50:33.191283,5930,24.39,1.220,314,220,0.750
2025-11-24T10:50:33.220814,5931,24.75,1.237,314,220,0.772
2025-11-24T10:50:33.236325,5932,24.75,1.237,314,220,0.772
2025-11-24T10:50:33.254759,5933,24.84,1.242,314,220,0.751
2025-11-24T10:50:33.286492,5934,25.20,1.260,313,221,0.799
2025-11-24T10:50:33.319110,5935,24.61,1.231,313,221,0.786
2025-11-24T10:50:33.349879,5936,25.18,1.259,313,221,0.733
2025-11-24T10:50:33.382914,5937,24.86,1.243,313,221,0.790
2025-11-24T10:50:33.414374,5938,24.64,1.232,313,222,0.761
2025-11-24T10:50:33.479418,5939,24.60,1.230,313,220,0.754
2025-11-24T10:50:33.557833,5941,46.13,2.306,255,251,0.349
2025-11-24T10:50:33.583458,5942,46.13,2.306,255,251,0.349
2025-11-24T10:50:33.613527,5943,24.44,1.222,312,221,0.809
2025-11-24T10:50:33.651408,5945,24.99,1.249,312,221,0.786
2025-11-24T10:50:33.719209,5947,24.84,1.242,311,222,0.776
2025-11-24T10:50:33.751305,5948,24.91,1.246,310,223,0.768
2025-11-24T10:50:33.929583,5952,24.74,1.237,310,222,0.770
2025-11-24T10:50:33.951654,5953,24.74,1.237,310,222,0.770
2025-11-24T10:50:33.980840,5954,24.67,1.233,309,221,0.778
2025-11-24T10:50:34.006013,5955,25.14,1.257,309,222,0.805
2025-11-24T10:50:34.032512,5956,25.32,1.266,308,223,0.757
2025-11-24T10:50:34.056042,5957,25.16,1.258,307,222,0.787
2025-11-24T10:50:34.086556,5958,25.29,1.264,307,222,0.777
2025-11-24T10:50:34.118649,5959,25.71,1.286,307,223,0.752
2025-11-24T10:50:34.149658,5960,25.72,1.286,308,221,0.708
2025-11-24T10:50:34.182700,5961,26.06,1.303,309,221,0.734
2025-11-24T10:50:34.296722,5963,27.01,1.351,310,222,0.765
2025-11-24T10:50:34.317854,5964,27.01,1.351,310,222,0.765
2025-11-24T10:50:34.340660,5965,26.98,1.349,309,223,0.759
2025-11-24T10:50:34.367812,5966,27.14,1.357,309,222,0.775
2025-11-24T10:50:34.390999,5967,27.70,1.385,309,223,0.772
2025-11-24T10:50:34.422446,5968,27.68,1.384,308,224,0.744
